"","time","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","species","trial_number","light_mode"
"2412",15.399,"stationary_light",2,"3","white","continuous",2,"right","left","blonde","7","off"
"2512",47.134,"stationary_light_stop",6,"3","white","continuous",2,"right","left","blonde","7","off"
"2612",188.072,"stationary_light",2,"3","white","continuous",2,"right","left","blonde","7","off"
"2712",212.633,"stationary_light_stop",6,"3","white","continuous",2,"right","left","blonde","7","off"
"323",15.333,"stationary_light",2,"2","amber","flashing",1,"right","left","blonde","7","off"
"333",109.002,"stationary_light_stop",6,"2","amber","flashing",1,"right","left","blonde","7","off"
"393",15.969,"stationary_light",2,"6","blue","flashing",1,"right","left","blonde","7","off"
"403",119.843,"stationary_light_stop",6,"6","blue","flashing",1,"right","left","blonde","7","off"
"414",143.666,"stationary_light",2,"6","blue","flashing",1,"right","left","blonde","7","off"
"443",42.426,"stationary_control",4,"4","green","flashing",1,"left","right","blonde","7","off"
"463",15.334,"stationary_light",2,"1","red","flashing",1,"left","right","blonde","7","off"
"473",47.166,"stationary_light_stop",6,"1","red","flashing",1,"left","right","blonde","7","off"
"483",71.333,"stationary_light",2,"1","red","flashing",1,"left","right","blonde","7","off"
"493",93.434,"stationary_light_stop",6,"1","red","flashing",1,"left","right","blonde","7","off"
"503",223.556,"stationary_control",4,"1","red","flashing",1,"left","right","blonde","7","off"
"514",259.271,"stationary_control_stop",8,"1","red","flashing",1,"left","right","blonde","7","off"
"562",15.868,"stationary_light",2,"4","royalblue","flashing",1,"right","left","blonde","7","off"
"582",15.533,"stationary_control",4,"5","white","flashing",1,"left","right","blonde","7","off"
"1103",15,"stationary_control",4,"6","amber","continuous",1,"right","left","blonde","8","off"
"316",15,"stationary_light",2,"3","blue","continuous",1,"left","right","blonde","8","off"
"2013",15,"stationary_control",4,"4","royalblue","continuous",1,"right","left","blonde","8","off"
"2213",15,"stationary_light",2,"5","white","continuous",1,"left","right","blonde","8","off"
"2713",294.521,"stationary_control",4,"3","amber","flashing",2,"right","left","blonde","8","off"
"304",15.399,"stationary_control",4,"5","blue","flashing",2,"right","left","blonde","8","off"
"324",15.799,"stationary_light",2,"1","green","flashing",2,"right","left","blonde","8","off"
"334",62.033,"stationary_light_stop",6,"1","green","flashing",2,"right","left","blonde","8","off"
"416",15.534,"stationary_light",2,"4","red","flashing",2,"left","right","blonde","8","off"
"516",15.499,"stationary_light",2,"6","white","flashing",2,"left","right","blonde","8","off"
"1104",38.294,"stationary_light",2,"1","amber","continuous",2,"right","left","blonde","9","off"
"299",164.8,"stationary_light_stop",6,"1","amber","continuous",2,"right","left","blonde","9","off"
"318",245.367,"stationary_light",2,"1","amber","continuous",2,"right","left","blonde","9","off"
"417",321.966,"stationary_light_stop",6,"1","amber","continuous",2,"right","left","blonde","9","off"
"1414",15,"stationary_control",4,"4","blue","continuous",2,"left","right","blonde","9","off"
"1614",15.134,"stationary_control",4,"2","green","continuous",2,"left","right","blonde","9","off"
"1714",69.234,"stationary_control_stop",8,"2","green","continuous",2,"left","right","blonde","9","off"
"2014",279.733,"stationary_control",4,"2","green","continuous",2,"left","right","blonde","9","off"
"2414",15,"stationary_light",2,"3","red","continuous",2,"right","left","blonde","9","off"
"2614",15,"stationary_light",2,"5","royalblue","continuous",2,"right","left","blonde","9","off"
"2814",15,"stationary_control",4,"6","white","continuous",2,"left","right","blonde","9","off"
"305",15,"stationary_control",4,"4","amber","flashing",1,"right","left","blonde","9","off"
"325",15,"stationary_light",2,"3","blue","flashing",1,"left","right","blonde","9","off"
"345",15,"stationary_light",2,"5","green","flashing",1,"left","right","blonde","9","off"
