"","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","species","trial_number","light_mode","control_light","sum(total2)","LightFact","TypeFact","total_new"
"108","stationary_light_stop",6,"4","red","flashing","2","right","left","spotted","3","off","light",175,"off","off",175
"109","stationary_light_stop",6,"2","amber","flashing","2","left","right","spotted","4","off","light",81.963,"off","off",81.963
"110","stationary_light_stop",6,"3","blue","flashing","2","right","left","spotted","4","off","light",160.049,"off","off",160.049
"111","stationary_light_stop",6,"5","amber","flashing","1","left","right","blonde","5","off","light",290.318,"off","off",290.318
"112","stationary_light_stop",6,"3","blue","flashing","1","left","right","blonde","5","off","light",17.934,"off","off",17.934
"113","stationary_light_stop",6,"2","white","continuous","1","right","left","blonde","6","off","light",55.128,"off","off",55.128
"114","stationary_light_stop",6,"2","amber","flashing","1","right","left","blonde","7","off","light",109.002,"off","off",109.002
"115","stationary_light_stop",6,"6","blue","flashing","1","right","left","blonde","7","off","light",291.177,"off","off",291.177
"116","stationary_light_stop",6,"5","red","continuous","2","right","left","blonde","7","off","light",135.817,"off","off",135.817
"117","stationary_light_stop",6,"1","red","flashing","1","left","right","blonde","7","off","light",84.267,"off","off",84.267
"118","stationary_light_stop",6,"3","white","continuous","2","right","left","blonde","7","off","light",86.695,"off","off",86.695
"119","stationary_light_stop",6,"1","green","flashing","2","right","left","blonde","8","off","light",72.871,"off","off",72.871
"120","stationary_light_stop",6,"1","amber","continuous","2","right","left","blonde","9","off","light",233.105,"off","off",233.105
"121","stationary_light_stop",6,"5","blue","flashing","1","right","left","spotted","10","off","light",104.934,"off","off",104.934
"122","stationary_light_stop",6,"1","amber","continuous","1","left","right","smalleye","12","off","light",23.202,"off","off",23.202
"123","stationary_light_stop",6,"6","blue","continuous","2","right","left","smalleye","12","off","light",63.47,"off","off",63.47
"124","stationary_light_stop",6,"2","royalblue","continuous","2","right","left","smalleye","12","off","light",20.697,"off","off",20.697
"125","stationary_light_stop",6,"1","red","flashing","2","right","left","smalleye","13","off","light",39.986,"off","off",39.986
"126","stationary_light_stop",6,"4","red","continuous","1","right","left","blonde","14","off","light",91.297,"off","off",91.297
"127","stationary_light_stop",6,"3","royalblue","flashing","2","left","right","blonde","14","off","light",166.61,"off","off",166.61
"128","stationary_light_stop",6,"3","royalblue","continuous","2","right","left","blonde","15","off","light",97.105,"off","off",97.105
"129","stationary_light_stop",6,"2","red","flashing","2","right","left","blonde","16","off","light",113.727,"off","off",113.727
"130","stationary_light_stop",6,"2","white","continuous","2","right","left","blonde","16","off","light",151.056,"off","off",151.056
"131","stationary_light_stop",6,"4","amber","flashing","2","left","right","blonde","19","off","light",95.266,"off","off",95.266
"132","stationary_light_stop",6,"1","blue","continuous","1","left","right","blonde","20","off","light",217.921,"off","off",217.921
"133","stationary_light_stop",6,"1","red","flashing","2","left","right","blonde","20","off","light",27.013,"off","off",27.013
"134","stationary_light_stop",6,"3","blue","flashing","1","right","left","spotted","21","off","light",33.96,"off","off",33.96
"135","stationary_light_stop",6,"4","white","flashing","1","left","right","spotted","21","off","light",255.65,"off","off",255.65
"136","stationary_light_stop",6,"2","amber","continuous","2","right","left","blonde","24","off","light",133.289,"off","off",133.289
"137","stationary_light_stop",6,"1","amber","continuous","1","right","left","blonde","25","off","light",125.829,"off","off",125.829
"138","stationary_light_stop",6,"4","amber","flashing","2","right","left","blonde","25","off","light",77.557,"off","off",77.557
"139","END",0,"5","blue","continuous","2","right","left","spotted","1","on","control",300,"blue","continuous",300
"140","END",0,"3","blue","flashing","1","left","right","spotted","1","on","control",19.9,"blue","flashing",19.9
"141","END",0,"2","green","continuous","1","right","left","spotted","1","on","control",149.835,"green","continuous",149.835
"142","END",0,"5","royalblue","flashing","1","left","right","spotted","1","on","control",300,"royalblue","flashing",300
"143","END",0,"3","green","flashing","2","left","right","spotted","3","on","control",90.5,"green","flashing",90.5
"144","END",0,"6","white","continuous","1","left","right","spotted","3","on","control",300,"white","continuous",300
"145","END",0,"5","white","flashing","2","left","right","spotted","3","on","control",294.1,"white","flashing",294.1
"146","END",0,"3","blue","flashing","2","right","left","spotted","4","on","control",226.004,"blue","flashing",226.004
"147","END",0,"1","royalblue","continuous","1","left","right","spotted","4","on","control",300,"royalblue","continuous",300
"148","END",0,"2","white","flashing","2","right","left","blonde","5","on","control",300,"white","flashing",300
"149","END",0,"3","blue","continuous","1","left","right","blonde","6","on","control",248.173,"blue","continuous",248.173
"150","END",0,"2","blue","continuous","2","left","right","blonde","7","on","control",282.783,"blue","continuous",282.783
"151","END",0,"4","green","flashing","1","left","right","blonde","7","on","control",300,"green","flashing",300
"152","END",0,"1","red","flashing","1","left","right","blonde","7","on","control",189.882,"red","flashing",189.882
"153","END",0,"3","amber","flashing","2","right","left","blonde","8","on","control",300,"amber","flashing",300
"154","END",0,"2","green","continuous","2","left","right","blonde","9","on","control",136.585,"green","continuous",136.585
"155","END",0,"6","amber","flashing","1","left","right","spotted","10","on","control",251.761,"amber","flashing",251.761
"156","END",0,"2","green","flashing","2","left","right","spotted","10","on","control",300,"green","flashing",300
"157","END",0,"6","blue","continuous","2","right","left","smalleye","12","on","control",300,"blue","continuous",300
"158","END",0,"1","green","flashing","1","left","right","smalleye","12","on","control",300,"green","flashing",300
"159","END",0,"2","green","flashing","2","left","right","smalleye","13","on","control",300,"green","flashing",300
"160","END",0,"3","royalblue","flashing","2","left","right","blonde","14","on","control",300,"royalblue","flashing",300
"161","END",0,"2","blue","flashing","1","left","right","blonde","15","on","control",300,"blue","flashing",300
