,time,code,class,light_order,light_colour,light_type,type_order,light_side,control_side,trial_number,length,light_mode
1,15.299,stationary_control,4,5,amber,continuous,2,right,left,3,37.724,off
3,281.417,stationary_light,2,2,blue,continuous,2,left,right,3,37.724,off
4,15.399,stationary_light,2,4,green,continuous,2,left,right,3,37.724,off
6,57.306,stationary_light,2,1,red,continuous,2,right,left,3,37.724,off
7,290.172,stationary_light_stop,6,1,red,continuous,2,right,left,3,37.724,off
8,15.599,stationary_light,2,6,royalblue,continuous,2,left,right,3,37.724,off
9,15.434,stationary_control,4,3,white,continuous,2,right,left,3,37.724,off
10,15.533,stationary_control,4,5,amber,flashing,1,right,left,3,37.724,off
18,250.066,stationary_light,2,4,green,flashing,1,left,right,3,37.724,off
19,31.232,stationary_control,4,1,red,flashing,1,right,left,3,37.724,off
20,41.136,stationary_control_stop,8,1,red,flashing,1,right,left,3,37.724,off
21,72.474,stationary_control,4,1,red,flashing,1,right,left,3,37.724,off
22,175.403,stationary_control_stop,8,1,red,flashing,1,right,left,3,37.724,off
26,292.385,stationary_control,4,1,red,flashing,1,right,left,3,37.724,off
27,15,stationary_light,2,6,royalblue,flashing,1,left,right,3,37.724,off
28,48.735,stationary_light_stop,6,6,royalblue,flashing,1,left,right,3,37.724,off
31,187.584,stationary_control,4,6,royalblue,flashing,1,left,right,3,37.724,off
33,83.134,stationary_control,4,3,white,flashing,1,right,left,3,37.724,off
34,84.766,stationary_control_stop,8,3,white,flashing,1,right,left,3,37.724,off
35,113.136,stationary_light,2,3,white,flashing,1,right,left,3,37.724,off
36,129.968,stationary_light_stop,6,3,white,flashing,1,right,left,3,37.724,off
38,15.434,stationary_light,2,5,amber,continuous,2,right,left,5,29.061,off
39,115.466,stationary_light_stop,6,5,amber,continuous,2,right,left,5,29.061,off
40,170.945,stationary_light,2,5,amber,continuous,2,right,left,5,29.061,off
41,182.104,stationary_light_stop,6,5,amber,continuous,2,right,left,5,29.061,off
45,15.533,stationary_control,4,1,blue,continuous,2,right,left,5,29.061,off
46,15.3,stationary_light,2,4,green,continuous,2,left,right,5,29.061,off
47,186.599,stationary_light_stop,6,4,green,continuous,2,left,right,5,29.061,off
48,217,stationary_light,2,4,green,continuous,2,left,right,5,29.061,off
49,15.333,stationary_light,2,6,red,continuous,2,left,right,5,29.061,off
50,96.6,stationary_light_stop,6,6,red,continuous,2,left,right,5,29.061,off
51,136.4,stationary_light,2,6,red,continuous,2,left,right,5,29.061,off
52,141.333,stationary_light_stop,6,6,red,continuous,2,left,right,5,29.061,off
54,250.099,stationary_light,2,6,red,continuous,2,left,right,5,29.061,off
55,15.499,stationary_control,4,3,royalblue,continuous,2,right,left,5,29.061,off
56,110.467,stationary_control_stop,8,3,royalblue,continuous,2,right,left,5,29.061,off
58,148.067,stationary_control,4,3,royalblue,continuous,2,right,left,5,29.061,off
59,152.467,stationary_control_stop,8,3,royalblue,continuous,2,right,left,5,29.061,off
62,275.999,stationary_control,4,3,royalblue,continuous,2,right,left,5,29.061,off
68,263.984,stationary_light,2,2,white,continuous,2,left,right,5,29.061,off
69,273.366,stationary_light_stop,6,2,white,continuous,2,left,right,5,29.061,off
70,15.5,stationary_light,2,6,amber,flashing,1,left,right,5,29.061,off
71,99.336,stationary_light_stop,6,6,amber,flashing,1,left,right,5,29.061,off
72,134.835,stationary_control,4,6,amber,flashing,1,left,right,5,29.061,off
73,204.6,stationary_control_stop,8,6,amber,flashing,1,left,right,5,29.061,off
74,229.6,stationary_control,4,6,amber,flashing,1,left,right,5,29.061,off
75,243.003,stationary_control_stop,8,6,amber,flashing,1,left,right,5,29.061,off
78,15.77,stationary_light,2,1,blue,flashing,1,right,left,5,29.061,off
79,82.967,stationary_light_stop,6,1,blue,flashing,1,right,left,5,29.061,off
84,15.469,stationary_light,2,4,green,flashing,1,left,right,5,29.061,off
85,197.535,stationary_light_stop,5,4,green,flashing,1,left,right,5,29.061,off
87,269.267,stationary_control,4,4,green,flashing,1,left,right,5,29.061,off
88,15.999,stationary_control,4,5,red,flashing,1,right,left,5,29.061,off
89,166.935,stationary_control_stop,8,5,red,flashing,1,right,left,5,29.061,off
91,15.199,stationary_light,5,4,amber,continuous,1,right,left,8,29.779,off
92,15.1,stationary_light,2,3,blue,continuous,1,left,right,8,29.779,off
93,15.4,stationary_light,2,1,green,continuous,1,left,right,8,29.779,off
94,213.867,stationary_light_stop,6,1,green,continuous,1,left,right,8,29.779,off
100,15.467,stationary_control,4,6,red,continuous,1,right,left,8,29.779,off
107,15.167,stationary_light,2,5,white,continuous,1,left,right,8,29.779,off
108,15,stationary_light,5,3,amber,flashing,2,left,right,8,29.779,off
109,15,stationary_control,5,4,blue,flashing,2,right,left,8,29.779,off
110,15,stationary_light,5,5,green,flashing,2,left,right,8,29.779,off
111,15,stationary_light,5,1,red,flashing,2,left,right,8,29.779,off
112,15,stationary_control,5,6,royalblue,flashing,2,right,left,8,29.779,off
113,15,stationary_control,5,2,white,flashing,2,right,left,8,29.779,off
114,15,stationary_light,4,5,amber,continuous,1,left,right,10,40.651,off
115,15.434,stationary_control,4,2,blue,continuous,1,right,left,10,40.651,off
116,42.567,stationary_control_stop,8,2,blue,continuous,1,right,left,10,40.651,off
123,15.599,stationary_control,4,1,green,continuous,1,left,right,10,40.651,off
124,146.899,stationary_control_stop,8,1,green,continuous,1,left,right,10,40.651,off
129,15,stationary_light,4,3,red,continuous,1,left,right,10,40.651,off
130,15,stationary_control,4,4,royalblue,continuous,1,right,left,10,40.651,off
131,15,stationary_control,4,6,white,continuous,1,right,left,10,40.651,off
132,15.267,stationary_light,4,3,amber,flashing,2,left,right,10,40.651,off
133,15.267,stationary_light,4,5,blue,flashing,2,left,right,10,40.651,off
134,15.267,stationary_control,4,2,green,flashing,2,right,left,10,40.651,off
