"","wavelength","radiance","norm_radiance"
"201",426,3.80547e-06,0.128031359449373
"202",427,4.6394e-06,0.149302495589185
"203",428,4.74426e-06,0.151977170124962
"204",429,5.24106e-06,0.164649097546038
"205",430,5.36965e-06,0.167929055571554
"206",431,5.45831e-06,0.170190515082731
"207",432,6.38301e-06,0.193776930715319
"208",433,7.09596e-06,0.211962217862775
"209",434,9.94661e-06,0.284674033287276
"210",435,2.86206e-05,0.760993368919139
"211",436,3.79908e-05,1
"212",437,2.48305e-05,0.664318908132862
"213",438,1.57809e-05,0.433489853403043
"214",439,1.20044e-05,0.337162289180628
"215",440,1.25421e-05,0.350877457003319
"216",441,1.41169e-05,0.391046038530516
"217",442,1.54934e-05,0.426156562071401
"218",443,1.64297e-05,0.450038860067283
"219",444,1.78851e-05,0.487161893820573
"220",445,1.97749e-05,0.535365211937221
"221",446,2.13706e-05,0.576066891860353
"222",447,2.31439e-05,0.621298632793918
"223",448,2.44328e-05,0.654174734349927
"224",449,2.64276e-05,0.705056297996392
"225",450,2.73561e-05,0.728739640610058
"226",451,2.75944e-05,0.734817982607729
"227",452,2.75421e-05,0.733483961262877
"228",453,2.79619e-05,0.744191841962088
"229",454,2.73207e-05,0.727836689260006
"230",455,2.5633e-05,0.684788356110749
"231",456,2.42275e-05,0.648938126661628
"232",457,2.2547e-05,0.606073444634416
"233",458,2.08737e-05,0.563392413729248
"234",459,1.92803e-05,0.522749400136769
"235",460,1.76087e-05,0.480111731302084
"236",461,1.66503e-05,0.455665726389927
"237",462,1.58366e-05,0.43491059888886
"238",463,1.48929e-05,0.410839548350877
"239",464,1.45343e-05,0.401692702189045
"240",465,1.42069e-05,0.393341677556073
"241",466,1.39836e-05,0.387645942062662
"242",467,1.36354e-05,0.378764369743784
"243",468,1.29079e-05,0.360207954287195
"244",469,1.29479e-05,0.361228238298554
"245",470,1.20712e-05,0.338866163479597
"246",471,1.21768e-05,0.341559713269584
"247",472,1.11499e-05,0.315366471987975
"248",473,1.11031e-05,0.314172739694685
"249",474,1.03895e-05,0.295970872932044
"250",475,1.01344e-05,0.289464011649603
"251",476,9.24234e-06,0.266710147770284
"252",477,9.8392e-06,0.281934315645775
"253",478,9.60739e-06,0.276021514728948
"254",479,9.27025e-06,0.26742205093921
"255",480,9.77418e-06,0.280275843985311
"256",481,1.05562e-05,0.300222906549382
"257",482,1.05331e-05,0.299633692532822
"258",483,1.13094e-05,0.319434854483268
"259",484,1.21624e-05,0.341192411025495
"260",485,1.33088e-05,0.370433750791039
"261",486,1.41365e-05,0.391545977696081
"262",487,1.47531e-05,0.407273655731178
"263",488,1.49366e-05,0.411954208633286
"264",489,1.49218e-05,0.411576703549083
"265",490,1.46073e-05,0.403554720509775
"266",491,1.43684e-05,0.397461074251934
"267",492,1.43698e-05,0.397496784192332
"268",493,1.42012e-05,0.393196287084454
"269",494,1.41524e-05,0.391951540590597
"270",495,1.39684e-05,0.387258234138346
"271",496,1.37937e-05,0.382802143718736
"272",497,1.41905e-05,0.392923361111416
"273",498,1.36971e-05,0.380338157831305
"274",499,1.4049e-05,0.389314106421234
"275",500,1.38612e-05,0.384523872987904
"276",501,1.37777e-05,0.382394030114193
"277",502,1.38094e-05,0.383202605193195
"278",503,1.41846e-05,0.39277286921974
"279",504,1.40439e-05,0.389184020209786
"280",505,1.37428e-05,0.381503832314282
"281",506,1.40851e-05,0.390234912741485
"282",507,1.41932e-05,0.392992230282182
"283",508,1.37328e-05,0.381248761311442
"284",509,1.43782e-05,0.397711043834717
"285",510,1.4525e-05,0.401455486156404
"286",511,1.47574e-05,0.407383336262399
"287",512,1.4343e-05,0.396813193904721
"288",513,1.46339e-05,0.404233209377328
"289",514,1.41016e-05,0.390655779896171
"290",515,1.4359e-05,0.397221307509265
"291",516,1.41655e-05,0.392285683604316
"292",517,1.39129e-05,0.385842590072586
"293",518,1.36008e-05,0.377881824073958
"294",519,1.35816e-05,0.377392087748506
"295",520,1.37221e-05,0.380975835338404
"296",521,1.34547e-05,0.37415523672247
"297",522,1.31197e-05,0.36561035812734
"298",523,1.34927e-05,0.375124506533261
"299",524,1.30872e-05,0.364781377368111
"300",525,1.28836e-05,0.359588131750295
"301",526,1.30422e-05,0.363633557855332
"302",527,1.28681e-05,0.359192771695893
"303",528,1.28975e-05,0.359942680444242
"304",529,1.23361e-05,0.345622994344821
"305",530,1.20165e-05,0.337470925094064
"306",531,1.21788e-05,0.341610727470152
"307",532,1.22636e-05,0.343773729574233
"308",533,1.20082e-05,0.337259216161707
"309",534,1.22501e-05,0.343429383720399
"310",535,1.2089e-05,0.339320189864652
"311",536,1.21792e-05,0.341620930310266
"312",537,1.21285e-05,0.340327720325868
"313",538,1.30242e-05,0.363174430050221
"314",539,1.37014e-05,0.380447838362526
"315",540,1.57414e-05,0.432482322941826
"316",541,1.90908e-05,0.517915804632957
"317",542,2.09887e-05,0.566325730261904
"318",543,2.13871e-05,0.576487759015038
"319",544,2.24e-05,0.602323900892672
"320",545,2.499e-05,0.668387290628156
"321",546,2.75098e-05,0.732660081923705
"322",547,2.46376e-05,0.659398588488085
"323",548,2.1042e-05,0.56768525870704
"324",549,1.73223e-05,0.472806497780755
"325",550,1.45237e-05,0.401422326926035
"326",551,1.2867e-05,0.359164713885581
"327",552,1.24465e-05,0.348438978216171
"328",553,1.11471e-05,0.31529505210718
"329",554,1.08848e-05,0.308604539702694
"330",555,1.04768e-05,0.298197642786834
"331",556,1.00309e-05,0.286824026770212
"332",557,9.90544e-06,0.283623905968585
"333",558,9.35773e-06,0.269653412072051
"334",559,9.54832e-06,0.274514810315173
"335",560,9.11458e-06,0.263451360638004
"336",561,8.81853e-06,0.255899983598935
"337",562,9.31579e-06,0.268583644286142
"338",563,8.70275e-06,0.252946771528056
"339",564,8.68761e-06,0.252560594029757
"340",565,8.26844e-06,0.241868782803725
"341",566,8.14812e-06,0.238799768497558
"342",567,8.3191e-06,0.243160972504111
"343",568,8.04517e-06,0.236173812523323
"344",569,8.069e-06,0.23678164672309
"345",570,7.75341e-06,0.228731860944472
"346",571,7.59102e-06,0.224589762929358
"347",572,7.18445e-06,0.214219341166904
"348",573,7.69219e-06,0.227170316265087
"349",574,7.79747e-06,0.229855703782984
"350",575,7.7861e-06,0.229565688052755
"351",576,7.95741e-06,0.233935309402402
"352",577,8.11942e-06,0.238067714719408
"353",578,8.27656e-06,0.242075900458031
"354",579,8.56157e-06,0.249345679109965
"355",580,8.05656e-06,0.236464338395557
"356",581,7.90396e-06,0.232571954892224
"357",582,7.72108e-06,0.227907216392291
"358",583,7.69493e-06,0.227240205719865
"359",584,7.40168e-06,0.219760248561591
"360",585,7.78032e-06,0.229418257013113
"361",586,7.68884e-06,0.227084867479136
"362",587,7.64364e-06,0.2259319465463
"363",588,7.45995e-06,0.221246547295138
"364",589,7.20951e-06,0.21485854910002
"365",590,7.17029e-06,0.213858160626883
"366",591,7.12746e-06,0.21276569152172
"367",592,6.57075e-06,0.198565633722631
"368",593,6.65636e-06,0.200749296577942
"369",594,6.69216e-06,0.201662450768108
"370",595,6.26877e-06,0.190862999578878
"371",596,6.0621e-06,0.18559144716319
"372",597,6.01911e-06,0.184494896921982
"373",598,5.93319e-06,0.182303326865583
"374",599,5.9978e-06,0.18395134061493
"375",600,5.81096e-06,0.179185593997873
"376",601,5.17917e-06,0.163070463109463
"377",602,5.39853e-06,0.168665700627755
"378",603,4.97648e-06,0.157900428952905
"379",604,4.71579e-06,0.151250982979877
"380",605,5.18886e-06,0.163317626911215
"381",606,4.58814e-06,0.147995001628628
"382",607,4.63072e-06,0.14908109395872
"383",608,4.53955e-06,0.14675561162583
"384",609,5.07494e-06,0.160411858046865
"385",610,6.65876e-06,0.200810513618623
"386",611,8.03919e-06,0.236021280063625
"387",612,8.13361e-06,0.238429660472437
"388",613,7.43018e-06,0.220487200919684
"389",614,6.91361e-06,0.207310998125993
"390",615,5.36365e-06,0.16777601296985
"391",616,4.96063e-06,0.157496141413405
"392",617,4.5484e-06,0.146981349463343
"393",618,4.08473e-06,0.135154472274675
"394",619,3.70253e-06,0.125405658546141
"395",620,3.9417e-06,0.131506191721058
"396",621,3.90347e-06,0.130531055277202
"397",622,3.71289e-06,0.125669912105083
"398",623,3.37407e-06,0.117027596386868
"399",624,3.67244e-06,0.124638149898597
"400",625,3.33477e-06,0.116025167345708
"401",626,3.17793e-06,0.11202463373717
"402",627,3.16781e-06,0.111766501882296
"403",628,3.31512e-06,0.115523952825128
"404",629,3.26119e-06,0.114148354906814
"405",630,2.49273e-06,0.0945471686225936
"406",631,3.12881e-06,0.110771724971222
"407",632,2.99573e-06,0.107377240065431
"408",633,2.86078e-06,0.103935056882109
"409",634,2.18646e-06,0.086735109018622
"410",635,2.16578e-06,0.0862076221847495
"411",636,2.21668e-06,0.0875059335892036
"412",637,2.33664e-06,0.0905657653392687
"413",638,2.12132e-06,0.0850735765061241
"414",639,1.83258e-06,0.0777086563701305
"415",640,2.15385e-06,0.0859033224783617
"416",641,1.89564e-06,0.0793171341140377
"417",642,2.20234e-06,0.0871401617711314
"418",643,1.87226e-06,0.0787207781093984
"419",644,2.03555e-06,0.082885832514768
"420",645,1.78142e-06,0.0764037131196025
"421",646,2.0591e-06,0.0834865247264555
"422",647,1.89678e-06,0.0793462122083614
"423",648,1.55383e-06,0.0705985521659737
"424",649,1.6493e-06,0.0730337150300844
"425",650,1.57825e-06,0.0712214355549082
"426",651,1.81074e-06,0.0771515812999286
"427",652,1.45218e-06,0.0680057554221081
"428",653,1.80024e-06,0.0768837567469469
"429",654,1.23482e-06,0.0624615321043842
"430",655,1.30312e-06,0.0642036670537794
"431",656,1.40083e-06,0.0666959658225262
"432",657,1.31382e-06,0.0644765930268179
"433",658,1.3541e-06,0.0655040190262562
