"","wavelength","radiance","norm_radiance"
"200",425,3.22172e-06,0.13138450478932
"201",426,3.02086e-06,0.125730937364631
"202",427,3.01276e-06,0.12550294823718
"203",428,3.45894e-06,0.138061490075014
"204",429,3.45269e-06,0.1378855725384
"205",430,3.7112e-06,0.145161803320816
"206",431,3.95785e-06,0.152104212985754
"207",432,4.27443e-06,0.161014928784359
"208",433,4.23752e-06,0.159976030180131
"209",434,7.25539e-06,0.244919431175571
"210",435,2.55508e-05,0.759876784542675
"211",436,3.40819e-05,1
"212",437,2.00664e-05,0.605508442493683
"213",438,9.99109e-06,0.321920647961988
"214",439,6.00986e-06,0.209861740074944
"215",440,6.07899e-06,0.211807528763925
"216",441,5.9963e-06,0.209480069387506
"217",442,6.39682e-06,0.220753428069852
"218",443,6.51498e-06,0.224079254650063
"219",444,6.34758e-06,0.219367479349392
"220",445,7.17934e-06,0.242778866590051
"221",446,7.24219e-06,0.244547893338242
"222",447,6.83704e-06,0.233144214944772
"223",448,6.71399e-06,0.229680750483914
"224",449,6.61158e-06,0.22679823609597
"225",450,6.67801e-06,0.228668028409134
"226",451,6.58382e-06,0.226016880765345
"227",452,6.315e-06,0.21845045641453
"228",453,6.11233e-06,0.212745943271239
"229",454,6.11832e-06,0.21291454263833
"230",455,5.66444e-06,0.200139270395387
"231",456,5.81872e-06,0.204481759603198
"232",457,5.6481e-06,0.199679351587663
"233",458,5.80224e-06,0.204017900242654
"234",459,5.53265e-06,0.196429802851328
"235",460,5.41005e-06,0.192979004453106
"236",461,5.23685e-06,0.188103977678457
"237",462,5.50892e-06,0.195761879148311
"238",463,4.89453e-06,0.178468763097061
"239",464,4.96198e-06,0.1803672651522
"240",465,4.70933e-06,0.173255974652113
"241",466,4.58043e-06,0.169627851376984
"242",467,4.6853e-06,0.172579606907339
"243",468,4.43842e-06,0.165630723477054
"244",469,4.0544e-06,0.154821787091368
"245",470,4.26267e-06,0.160683922347466
"246",471,4.18678e-06,0.158547861250883
"247",472,3.9431e-06,0.151689047599345
"248",473,4.01209e-06,0.153630895735506
"249",474,3.92087e-06,0.151063344105116
"250",475,3.45089e-06,0.137834908287855
"251",476,4.00337e-06,0.153385455588422
"252",477,3.74923e-06,0.146232226347606
"253",478,3.34613e-06,0.134886248906145
"254",479,3.40679e-06,0.136593634149506
"255",480,3.85678e-06,0.149259415317661
"256",481,3.65319e-06,0.143529007112979
"257",482,4.00222e-06,0.153353086761685
"258",483,4.54677e-06,0.168680429891795
"259",484,5.1295e-06,0.185082418069574
"260",485,5.71875e-06,0.201667923421548
"261",486,6.46094e-06,0.222558201261483
"262",487,7.2152e-06,0.243788211048128
"263",488,7.2631e-06,0.245136443048738
"264",489,6.68669e-06,0.228912342683984
"265",490,6.21417e-06,0.215612413979843
"266",491,5.69417e-06,0.200976074933552
"267",492,5.5554e-06,0.197070142684603
"268",493,4.93844e-06,0.179704689342296
"269",494,4.86056e-06,0.177512616102056
"270",495,4.34219e-06,0.162922156349314
"271",496,4.04201e-06,0.154473048166784
"272",497,3.96379e-06,0.152271405012552
"273",498,3.73515e-06,0.145835919321122
"274",499,3.59106e-06,0.141780246065006
"275",500,3.48494e-06,0.138793307027329
"276",501,3.1892e-06,0.130469170662809
"277",502,2.89363e-06,0.122149819255286
"278",503,2.9638e-06,0.12412488062236
"279",504,3.11366e-06,0.128342960948277
"280",505,3.1e-06,0.127958475580253
"281",506,2.95756e-06,0.123949244553804
"282",507,3.11548e-06,0.128394188134939
"283",508,3.05054e-06,0.126566334562504
"284",509,3.31271e-06,0.133945582654362
"285",510,3.43074e-06,0.137267750149811
"286",511,3.49596e-06,0.139103484827886
"287",512,3.19341e-06,0.130587668715473
"288",513,3.54501e-06,0.140484085655234
"289",514,3.44463e-06,0.137658709283182
"290",515,3.22848e-06,0.131574777196922
"291",516,3.42164e-06,0.137011614216501
