,time,code,class,light_order,light_colour,light_type,type_order,light_side,control_side,species,trial_number,wing_length,mls,light_mode,control_light,LightFact,TypeFact,total_new
170,15.264,stationary_light,2,2,royalblue,continuous,2,left,right,spotted,27,24.797,under,off,light,off,off,300
171,15.264,stationary_control,4,5,white,continuous,2,right,left,spotted,27,24.797,under,off,control,off,off,300
172,15.237,stationary_light,2,3,amber,flashing,1,right,left,spotted,27,24.797,under,off,light,off,off,300
173,15.237,stationary_control,4,6,blue,flashing,1,left,right,spotted,27,24.797,under,off,control,off,off,300
174,15.237,stationary_control,4,4,green,flashing,1,left,right,spotted,27,24.797,under,off,control,off,off,300
175,15.237,stationary_light,2,5,red,flashing,1,right,left,spotted,27,24.797,under,off,light,off,off,300
176,15.237,stationary_light,2,1,royalblue,flashing,1,right,left,spotted,27,24.797,under,off,light,off,off,300
177,15.237,stationary_control,4,2,white,flashing,1,left,right,spotted,27,24.797,under,off,control,off,off,300
178,600.269,END,0,1,amber,continuous,2,left,right,spotted,2,33.627,under,on,control,amber,continuous,300
179,600.171,END,0,1,amber,continuous,1,right,left,spotted,3,37.201,under,on,light,amber,continuous,300
180,600.174,END,0,3,blue,continuous,1,right,left,spotted,3,37.201,under,on,light,blue,continuous,300
181,599.907,END,0,2,green,continuous,1,left,right,spotted,3,37.201,under,on,control,green,continuous,300
182,600.043,END,0,4,royalblue,continuous,1,left,right,spotted,3,37.201,under,on,control,royalblue,continuous,300
183,600.999,END,0,6,blue,flashing,2,right,left,spotted,3,37.201,under,on,light,blue,flashing,300
184,599.335,END,0,2,amber,continuous,1,right,left,spotted,4,32.184,under,on,light,amber,continuous,300
185,599.334,END,0,3,blue,continuous,1,left,right,spotted,4,32.184,under,on,control,blue,continuous,300
186,599.533,END,0,5,green,continuous,1,left,right,spotted,4,32.184,under,on,control,green,continuous,300
187,601.034,END,0,6,red,continuous,1,right,left,spotted,4,32.184,under,on,light,red,continuous,300
188,599.335,END,0,4,white,continuous,1,right,left,spotted,4,32.184,under,on,light,white,continuous,300
189,600.606,END,0,6,red,flashing,2,left,right,spotted,4,32.184,under,on,light,red,flashing,300
190,601.467,END,0,5,royalblue,flashing,2,right,left,spotted,4,32.184,under,on,control,royalblue,flashing,300
191,599.601,END,0,4,white,flashing,2,left,right,spotted,4,32.184,under,on,light,white,flashing,300
192,601.933,END,0,4,amber,continuous,2,left,right,blonde,5,53.026,over,on,light,amber,continuous,300
193,601.867,END,0,2,red,continuous,2,right,left,blonde,5,53.026,over,on,control,red,continuous,300
194,601.068,END,0,5,royalblue,continuous,2,right,left,blonde,5,53.026,over,on,control,royalblue,continuous,300
195,600,END,0,6,white,continuous,2,left,right,blonde,5,53.026,over,on,light,white,continuous,300
196,601.1,END,0,6,green,flashing,1,left,right,blonde,5,53.026,over,on,control,green,flashing,300
197,599.872,END,0,4,red,flashing,1,right,left,blonde,5,53.026,over,on,control,red,flashing,300
198,600.033,END,0,4,amber,continuous,1,right,left,blonde,6,15.871,under,on,light,amber,continuous,300
199,599.999,END,0,6,green,continuous,1,right,left,blonde,6,15.871,under,on,light,green,continuous,300
200,600.334,END,0,5,royalblue,continuous,1,left,right,blonde,6,15.871,under,on,control,royalblue,continuous,300
