"","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","species","trial_number","wing_length","mls","light_mode","control_light","sum(total2)","LightFact","TypeFact","total_new"
"185","END",0,"1","red","continuous","2","left","right","blonde","6",15.871,"under","on","light",115.334,"red","continuous",115.334
"186","END",0,"5","white","flashing","2","right","left","blonde","6",15.871,"under","on","light",292.561,"white","flashing",292.561
"187","END",0,"1","amber","continuous","2","right","left","blonde","7",22.092,"under","on","light",300,"amber","continuous",300
"188","END",0,"6","blue","flashing","1","right","left","blonde","7",22.092,"under","on","light",300,"blue","flashing",300
"189","END",0,"6","green","continuous","2","left","right","blonde","7",22.092,"under","on","light",91.987,"green","continuous",91.987
"190","END",0,"3","white","continuous","2","right","left","blonde","7",22.092,"under","on","light",193.437,"white","continuous",193.437
"191","END",0,"1","green","flashing","2","right","left","blonde","8",23.02,"under","on","light",207.501,"green","flashing",207.501
"192","END",0,"2","red","continuous","1","right","left","blonde","8",23.02,"under","on","light",300,"red","continuous",300
"193","END",0,"2","royalblue","continuous","2","right","left","spotted","10",33.765,"under","on","light",300,"royalblue","continuous",300
"194","END",0,"2","royalblue","continuous","2","right","left","smalleye","12",42.69,"under","on","light",77.83,"royalblue","continuous",77.83
"195","END",0,"5","royalblue","flashing","1","left","right","smalleye","12",42.69,"under","on","light",300,"royalblue","flashing",300
"196","END",0,"3","green","continuous","1","right","left","smalleye","13",41.709,"under","on","light",157.931,"green","continuous",157.931
"197","END",0,"1","red","flashing","2","right","left","smalleye","13",41.709,"under","on","light",31.266,"red","flashing",31.266
"198","END",0,"6","amber","continuous","1","right","left","blonde","14",19.584,"under","on","light",94.183,"amber","continuous",94.183
"199","END",0,"4","amber","continuous","2","left","right","blonde","15",18.886,"under","on","light",34.0069999999999,"amber","continuous",34.0069999999999
"200","END",0,"3","royalblue","continuous","2","right","left","blonde","15",18.886,"under","on","light",300,"royalblue","continuous",300
"201","END",0,"2","red","flashing","2","right","left","blonde","16",16.53,"under","on","light",189.734,"red","flashing",189.734
"202","END",0,"5","amber","continuous","2","right","left","blonde","19",28.603,"under","on","light",51.058,"amber","continuous",51.058
"203","END",0,"1","blue","continuous","1","left","right","blonde","20",27.627,"under","on","light",300,"blue","continuous",300
"204","END",0,"3","blue","continuous","2","right","left","spotted","21",31.901,"under","on","light",160.622,"blue","continuous",160.622
"205","END",0,"1","royalblue","flashing","1","right","left","spotted","21",31.901,"under","on","light",300,"royalblue","flashing",300
"206","END",0,"6","blue","continuous","2","left","right","spotted","23",48.91,"over","on","light",300,"blue","continuous",300
"207","END",0,"3","white","continuous","2","right","left","spotted","23",48.91,"over","on","light",214.153,"white","continuous",214.153
"208","END",0,"1","white","flashing","1","right","left","spotted","23",48.91,"over","on","light",300,"white","flashing",300
"209","END",0,"2","amber","continuous","2","right","left","blonde","24",24.916,"under","on","light",300,"amber","continuous",300
"210","END",0,"4","amber","flashing","2","right","left","blonde","25",28.174,"under","on","light",300,"amber","flashing",300
"211","END",0,"5","royalblue","flashing","2","right","left","blonde","25",28.174,"under","on","light",284.708,"royalblue","flashing",284.708
"212","stationary_light_stop",5,"3","blue","flashing","1","left","right","spotted","1",47.792,"over","on","light",98.2319999999999,"blue","flashing",98.2319999999999
"213","stationary_light_stop",5,"2","amber","flashing","2","left","right","spotted","4",32.184,"under","on","light",83.368,"amber","flashing",83.368
"214","stationary_light_stop",5,"1","royalblue","flashing","1","left","right","blonde","5",53.026,"over","on","light",91.808,"royalblue","flashing",91.808
"215","stationary_light_stop",5,"2","white","continuous","1","right","left","blonde","6",15.871,"under","on","light",33.799,"white","continuous",33.799
"216","stationary_light_stop",5,"2","amber","flashing","1","right","left","blonde","7",22.092,"under","on","light",58.578,"amber","flashing",58.578
"217","stationary_light_stop",5,"1","amber","continuous","2","right","left","blonde","9",22.637,"under","on","light",20.867,"amber","continuous",20.867
"218","stationary_light_stop",5,"1","amber","continuous","1","left","right","smalleye","12",42.69,"under","on","light",59.499,"amber","continuous",59.499
"219","stationary_light_stop",5,"1","red","continuous","1","right","left","smalleye","13",41.709,"under","on","light",104.167,"red","continuous",104.167
"220","stationary_light_stop",5,"2","white","continuous","1","left","right","smalleye","13",41.709,"under","on","light",39.1740000000001,"white","continuous",39.1740000000001
"221","stationary_light_stop",5,"2","red","flashing","1","left","right","spotted","21",31.901,"under","on","light",24.506,"red","flashing",24.506
"222","stationary_light_stop",5,"2","white","continuous","2","left","right","spotted","21",31.901,"under","on","light",96.38,"white","continuous",96.38
"223","stationary_light_stop",5,"1","amber","continuous","1","right","left","blonde","25",28.174,"under","on","light",42.183,"amber","continuous",42.183
"224","stationary_light_stop",5,"1","red","flashing","2","right","left","blonde","25",28.174,"under","on","light",96.8360000000001,"red","flashing",96.8360000000001
