"","time","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","species","trial_number","wing_length","mls","light_mode"
"253",46.027,"stationary_light",2,"2","amber","flashing",2,"left","right","spotted","4",32.184,"under","off"
"254",96.657,"stationary_light_stop",6,"2","amber","flashing",2,"left","right","spotted","4",32.184,"under","off"
"258",298.667,"stationary_light",2,"2","amber","flashing",2,"left","right","spotted","4",32.184,"under","off"
"267",15.298,"stationary_light",2,"3","blue","flashing",2,"right","left","spotted","4",32.184,"under","off"
"268",31.182,"stationary_light_stop",6,"3","blue","flashing",2,"right","left","spotted","4",32.184,"under","off"
"270",70.599,"stationary_light",2,"3","blue","flashing",2,"right","left","spotted","4",32.184,"under","off"
"271",184.466,"stationary_light_stop",6,"3","blue","flashing",2,"right","left","spotted","4",32.184,"under","off"
"279",15,"stationary_control",4,"2","green","flashing",2,"right","left","spotted","4",32.184,"under","off"
"280",52.466,"stationary_control_stop",8,"2","green","flashing",2,"right","left","spotted","4",32.184,"under","off"
"283",234.505,"stationary_light",2,"2","green","flashing",2,"right","left","spotted","4",32.184,"under","off"
"285",15.5,"stationary_light",2,"6","red","flashing",2,"left","right","spotted","4",32.184,"under","off"
"287",15.736,"stationary_control",4,"5","royalblue","flashing",2,"right","left","spotted","4",32.184,"under","off"
"289",15.633,"stationary_light",2,"4","white","flashing",2,"left","right","spotted","4",32.184,"under","off"
"1100",15.3,"stationary_light",2,"4","amber","continuous",2,"left","right","blonde","5",53.026,"over","off"
"710",113.283,"stationary_light",2,"1","blue","continuous",2,"right","left","blonde","5",53.026,"over","off"
"1010",15.804,"stationary_control",4,"2","green","continuous",2,"left","right","blonde","5",53.026,"over","off"
"1110",143.433,"stationary_control_stop",8,"2","green","continuous",2,"left","right","blonde","5",53.026,"over","off"
"1610",15.636,"stationary_control",4,"2","red","continuous",2,"right","left","blonde","5",53.026,"over","off"
"1810",15.299,"stationary_control",4,"5","royalblue","continuous",2,"right","left","blonde","5",53.026,"over","off"
"2010",15.767,"stationary_light",2,"6","white","continuous",2,"left","right","blonde","5",53.026,"over","off"
"2210",15.5,"stationary_light",2,"5","amber","flashing",1,"left","right","blonde","5",53.026,"over","off"
"2310",264.484,"stationary_light_stop",6,"5","amber","flashing",1,"left","right","blonde","5",53.026,"over","off"
"2410",282.866,"stationary_light",2,"5","amber","flashing",1,"left","right","blonde","5",53.026,"over","off"
