"","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","species","trial_number","wing_length","mls","light_mode","control_light","LightFact","TypeFact","total_new"
"63","stationary_control",4,"3","red","continuous","1","left","right","smalleye","12",42.69,"under","off","control","off","off",300
"64","stationary_control",4,"5","white","continuous","2","left","right","smalleye","12",42.69,"under","off","control","off","off",300
"65","stationary_control",4,"6","amber","flashing","1","right","left","smalleye","12",42.69,"under","off","control","off","off",300
"66","stationary_light",2,"2","blue","flashing","1","right","left","smalleye","12",42.69,"under","off","light","off","off",300
"67","stationary_control",4,"3","red","flashing","1","left","right","smalleye","12",42.69,"under","off","control","off","off",300
"68","stationary_light",2,"4","white","flashing","1","right","left","smalleye","12",42.69,"under","off","light","off","off",300
"69","stationary_light",2,"5","amber","continuous","1","right","left","smalleye","13",41.709,"under","off","light","off","off",300
"70","stationary_control",4,"4","blue","continuous","2","left","right","smalleye","13",41.709,"under","off","control","off","off",300
"71","stationary_control",4,"6","royalblue","continuous","1","left","right","smalleye","13",41.709,"under","off","control","off","off",300
"72","stationary_control",2,"6","amber","flashing","2","left","right","smalleye","13",41.709,"under","off","control","off","off",300
"73","stationary_light",2,"6","blue","flashing","2","right","left","smalleye","13",41.709,"under","off","light","off","off",300
"74","stationary_control",4,"4","royalblue","flashing","2","left","right","smalleye","13",41.709,"under","off","control","off","off",300
"75","stationary_light",2,"3","white","flashing","2","right","left","smalleye","13",41.709,"under","off","light","off","off",300
"76","stationary_control",4,"5","amber","flashing","2","left","right","blonde","14",19.584,"under","off","control","off","off",300
"77","stationary_light",2,"4","blue","flashing","2","right","left","blonde","14",19.584,"under","off","light","off","off",300
"78","stationary_light",2,"6","red","flashing","2","right","left","blonde","14",19.584,"under","off","light","off","off",300
"79","stationary_light",2,"6","green","continuous","2","left","right","blonde","15",18.886,"under","off","light","off","off",300
"80","stationary_light",2,"5","amber","flashing","1","right","left","blonde","15",18.886,"under","off","light","off","off",300
"81","stationary_control",4,"6","green","flashing","1","left","right","blonde","15",18.886,"under","off","control","off","off",300
"82","stationary_light",2,"3","red","flashing","1","right","left","blonde","15",18.886,"under","off","light","off","off",300
"83","stationary_control",4,"4","white","flashing","1","left","right","blonde","15",18.886,"under","off","control","off","off",300
"84","stationary_control",4,"5","green","continuous","1","left","right","blonde","16",16.53,"under","off","control","off","off",300
"85","stationary_light",2,"4","red","continuous","1","right","left","blonde","16",16.53,"under","off","light","off","off",300
"86","stationary_light",2,"6","royalblue","continuous","1","right","left","blonde","16",16.53,"under","off","light","off","off",300
"87","stationary_control",4,"3","amber","flashing","2","left","right","blonde","16",16.53,"under","off","control","off","off",300
"88","stationary_control",4,"5","blue","flashing","2","left","right","blonde","16",16.53,"under","off","control","off","off",300
"89","stationary_light",2,"4","green","flashing","2","right","left","blonde","16",16.53,"under","off","light","off","off",300
"90","stationary_light",2,"6","royalblue","flashing","2","left","right","blonde","16",16.53,"under","off","light","off","off",300
"91","stationary_light",2,"1","amber","continuous","2","right","left","spotted","17",18.007,"under","off","light","off","off",300
"92","stationary_light",2,"5","blue","continuous","2","right","left","spotted","17",18.007,"under","off","light","off","off",300
"93","stationary_control",4,"6","green","continuous","2","left","right","spotted","17",18.007,"under","off","control","off","off",300
"94","stationary_light",2,"3","red","continuous","2","right","left","spotted","17",18.007,"under","off","light","off","off",300
"95","stationary_control",4,"2","royalblue","continuous","2","left","right","spotted","17",18.007,"under","off","control","off","off",300
"96","stationary_control",4,"4","white","continuous","2","left","right","spotted","17",18.007,"under","off","control","off","off",300
"97","stationary_control",4,"1","amber","flashing","1","right","left","spotted","17",18.007,"under","off","control","off","off",300
"98","stationary_light",2,"6","blue","flashing","1","left","right","spotted","17",18.007,"under","off","light","off","off",300
"99","stationary_light",2,"2","green","flashing","1","left","right","spotted","17",18.007,"under","off","light","off","off",300
"100","stationary_light",2,"4","red","flashing","1","left","right","spotted","17",18.007,"under","off","light","off","off",300
"101","stationary_control",4,"5","royalblue","flashing","1","right","left","spotted","17",18.007,"under","off","control","off","off",300
"102","stationary_control",4,"1","white","flashing","1","right","left","spotted","17",18.007,"under","off","control","off","off",300
"103","stationary_light",2,"4","amber","continuous","1","right","left","spotted","18",13.458,"under","off","light","off","off",300
"104","stationary_light",2,"6","blue","continuous","1","right","left","spotted","18",13.458,"under","off","light","off","off",300
"105","stationary_light",2,"2","green","continuous","1","right","left","spotted","18",13.458,"under","off","light","off","off",300
"106","stationary_control",4,"3","red","continuous","1","left","right","spotted","18",13.458,"under","off","control","off","off",300
"107","stationary_light",2,"5","royalblue","continuous","1","left","right","spotted","18",13.458,"under","off","light","off","off",300
"108","stationary_control",4,"1","white","continuous","1","left","right","spotted","18",13.458,"under","off","control","off","off",300
"109","stationary_control",4,"4","amber","flashing","2","right","left","spotted","18",13.458,"under","off","control","off","off",300
"110","stationary_control",4,"6","blue","flashing","2","right","left","spotted","18",13.458,"under","off","control","off","off",300
"111","stationary_light",2,"5","green","flashing","2","left","right","spotted","18",13.458,"under","off","light","off","off",300
"112","stationary_light",2,"1","red","flashing","2","left","right","spotted","18",13.458,"under","off","light","off","off",300
"113","stationary_control",4,"2","royalblue","flashing","2","right","left","spotted","18",13.458,"under","off","control","off","off",300
"114","stationary_light",2,"3","white","flashing","2","left","right","spotted","18",13.458,"under","off","light","off","off",300
"115","stationary_control",4,"2","amber","continuous","1","right","left","blonde","20",27.627,"under","off","control","off","off",300
"116","stationary_control",4,"6","green","continuous","1","right","left","blonde","20",27.627,"under","off","control","off","off",300
"117","stationary_control",4,"4","red","continuous","1","right","left","blonde","20",27.627,"under","off","control","off","off",300
