"","LightFact","code","TypeFact","light_type","light_colour","light_mode","trial_number","light_order","light_side","type_order","n","control_light"
"371","green","control_interaction","continuous","continuous","green","on","14","4","left","2",1,"control"
"372","green","control_interaction","continuous","continuous","green","on","35","6","left","2",1,"control"
"373","red","control_interaction","flashing","flashing","red","on","13","3","left","1",1,"control"
"374","red","control_interaction","flashing","flashing","red","on","17","1","right","1",1,"control"
"375","red","control_interaction","flashing","flashing","red","on","24","2","right","2",1,"control"
"376","red","control_interaction","flashing","flashing","red","on","27","3","right","2",1,"control"
"377","red","control_interaction","flashing","flashing","red","on","38","3","left","1",1,"control"
"378","red","control_interaction","continuous","continuous","red","on","1","3","right","1",1,"control"
"379","red","control_interaction","continuous","continuous","red","on","2","2","left","1",1,"control"
"380","red","control_interaction","continuous","continuous","red","on","7","3","left","1",1,"control"
"381","red","control_interaction","continuous","continuous","red","on","24","2","left","1",1,"control"
"382","red","control_interaction","continuous","continuous","red","on","29","3","left","1",1,"control"
"383","royalblue","control_interaction","flashing","flashing","royalblue","on","9","2","left","1",1,"control"
"384","royalblue","control_interaction","flashing","flashing","royalblue","on","15","4","left","1",1,"control"
"385","royalblue","control_interaction","flashing","flashing","royalblue","on","20","4","left","2",1,"control"
"386","royalblue","control_interaction","flashing","flashing","royalblue","on","34","3","right","1",2,"control"
"387","royalblue","control_interaction","continuous","continuous","royalblue","on","4","5","right","1",1,"control"
"388","royalblue","control_interaction","continuous","continuous","royalblue","on","9","2","right","2",1,"control"
"389","royalblue","control_interaction","continuous","continuous","royalblue","on","12","2","left","2",1,"control"
"390","royalblue","control_interaction","continuous","continuous","royalblue","on","13","3","left","2",1,"control"
"391","royalblue","control_interaction","continuous","continuous","royalblue","on","17","5","left","2",1,"control"
"392","royalblue","control_interaction","continuous","continuous","royalblue","on","34","2","right","2",1,"control"
"393","white","control_interaction","flashing","flashing","white","on","2","3","left","2",2,"control"
"394","white","control_interaction","flashing","flashing","white","on","3","5","right","2",1,"control"
"395","white","control_interaction","flashing","flashing","white","on","7","1","left","2",1,"control"
"396","white","control_interaction","flashing","flashing","white","on","13","5","left","1",2,"control"
"397","white","control_interaction","flashing","flashing","white","on","14","2","right","1",3,"control"
"398","white","control_interaction","flashing","flashing","white","on","15","1","right","1",2,"control"
"399","white","control_interaction","flashing","flashing","white","on","20","5","left","2",1,"control"
"400","white","control_interaction","flashing","flashing","white","on","23","1","right","2",1,"control"
"401","white","control_interaction","continuous","continuous","white","on","4","3","right","1",3,"control"
"402","white","control_interaction","continuous","continuous","white","on","11","2","right","2",2,"control"
